period,user_id,daily_pageviews
2018-11-01T00:00:00Z,147,2
2018-11-03T00:00:00Z,147,3
2018-11-04T00:00:00Z,147,41
2018-11-05T00:00:00Z,147,23
2018-11-06T00:00:00Z,147,18
2018-11-07T00:00:00Z,147,31
2018-11-08T00:00:00Z,147,8
2018-11-09T00:00:00Z,147,7
2018-11-10T00:00:00Z,147,9
2018-11-11T00:00:00Z,147,6
2018-11-12T00:00:00Z,147,6
2018-11-13T00:00:00Z,147,7
2018-11-14T00:00:00Z,147,2
2018-11-15T00:00:00Z,147,1
2018-11-16T00:00:00Z,147,13
2018-09-10T00:00:00Z,150,8
2018-09-11T00:00:00Z,150,5
2018-09-12T00:00:00Z,150,7
2018-09-13T00:00:00Z,150,7
2018-09-14T00:00:00Z,150,15
2018-09-17T00:00:00Z,150,7
2018-09-18T00:00:00Z,150,34
2018-09-19T00:00:00Z,150,10
2018-09-20T00:00:00Z,150,6
2018-09-21T00:00:00Z,150,6
2018-09-24T00:00:00Z,150,8
2018-09-25T00:00:00Z,150,11
2018-09-26T00:00:00Z,150,16
2018-09-27T00:00:00Z,150,43
2018-09-28T00:00:00Z,150,37
2018-10-01T00:00:00Z,150,14
2018-10-02T00:00:00Z,150,19
2018-10-03T00:00:00Z,150,15
2018-10-04T00:00:00Z,150,154
2018-10-05T00:00:00Z,150,15
2018-10-08T00:00:00Z,150,8
2018-10-09T00:00:00Z,150,4
2018-10-10T00:00:00Z,150,23
2018-10-11T00:00:00Z,150,53
2018-10-17T00:00:00Z,150,19
2018-10-18T00:00:00Z,150,30
2018-10-19T00:00:00Z,150,5
2018-10-21T00:00:00Z,150,1
2018-10-22T00:00:00Z,150,2
2018-10-23T00:00:00Z,150,40
2018-10-24T00:00:00Z,150,2
2018-10-25T00:00:00Z,150,10
2018-10-30T00:00:00Z,150,2
2018-11-01T00:00:00Z,150,10
2018-11-12T00:00:00Z,150,1
2018-11-13T00:00:00Z,150,1
2018-11-15T00:00:00Z,150,7
2018-09-17T00:00:00Z,173,5
2018-09-20T00:00:00Z,173,1
2018-09-23T00:00:00Z,173,32
2018-09-25T00:00:00Z,173,17
2018-09-28T00:00:00Z,173,1
2018-09-29T00:00:00Z,173,23
2018-09-30T00:00:00Z,173,21
2018-10-01T00:00:00Z,173,11
2018-10-02T00:00:00Z,173,1
2018-10-03T00:00:00Z,173,23
2018-10-04T00:00:00Z,173,5
2018-10-05T00:00:00Z,173,7
2018-10-07T00:00:00Z,173,3
2018-10-14T00:00:00Z,173,2
2018-10-16T00:00:00Z,173,8
2018-10-20T00:00:00Z,173,2
2018-10-23T00:00:00Z,173,1
